Alert Name,Title,Link
Hacker News,"Web Server for AoE 1, 2 and 3 DE supporting LAN multiplayer 100% offline",https://github.com/luskaner/ageLANServer
Hacker News,Tell HN: Announcing tomhow as a public moderator,https://news.ycombinator.com/item?id=43558671
Hacker News,TV Garden,https://tv.garden/
Hacker News,"An open source, self-hosted implementation of the Tailscale control server",https://github.com/juanfont/headscale
Hacker News,Pico.sh – SSH powered services for developers,https://pico.sh/
Hacker News,Minimal CSS-only blurry image placeholders,https://leanrada.com/notes/css-only-lqip/
Hacker News,The reality of working in tech: We're not hired to write code (2023),https://idiallo.com/blog/code-for-hire
Hacker News,Animals Made from 13 Circles (2016),https://www.dorithegiant.com/2016/05/13-animals-made-from-13-circles.html
Hacker News,Multi-Token Attention,https://arxiv.org/abs/2504.00927
Hacker News,MIT 6.5950 Secure Hardware Design – An open-source course on hardware attacks,https://shd.mit.edu/home/
Hacker News,Apple's Cubify Anything: Scaling Indoor 3D Object Detection,https://github.com/apple/ml-cubifyanything
Hacker News,Tech companies are telling immigrant employees on visas not to leave the U.S.,https://www.washingtonpost.com/technology/2025/03/31/immigration-h1b-fear-siliconvalley/
Hacker News,Ploopy Classic 2 open source trackball,https://blog.ploopy.co/the-classic-2-is-here-186
Hacker News,Restructuring Announcement,https://automattic.com/2025/04/02/restructuring-announcement/
Hacker News,Matrix.org Will Migrate to MAS,https://matrix.org/blog/2025/04/matrix-auth-service/
Hacker News,Search could be so much better. And I don't mean chatbots with web access,https://www.matterrank.ai/mission
Hacker News,UpCodes (YC S17) Is Hiring SWEs and CSMs to make construction more productive,https://up.codes/careers?utm_source=HN
Hacker News,Ask HN: Who is hiring? (April 2025),https://news.ycombinator.com/item?id=43547611
Hacker News,Digital Archivists: Protecting Public Data from Erasure,https://spectrum.ieee.org/digital-archive
Hacker News,Search-R1: Training LLMs to Reason and Leverage Search Engines with RL,https://arxiv.org/abs/2503.09516
Hacker News,When Jorge Luis Borges met one of the founders of AI,https://resobscura.substack.com/p/when-jorge-luis-borges-met-one-of
Hacker News,The Carbon Bankroll 2.0 [pdf] (2024),https://static1.squarespace.com/static/651da9cd0ad7706a768d14db/t/66024d827623d72ef543b545/1711426949213/The+Carbon+Bankroll+2.0+-+From+Awareness+to+Action+%28final%29.pdf
Hacker News,How Google built its Gemini robotics models,https://blog.google/products/gemini/how-we-built-gemini-robotics/
Hacker News,Are people bad at their jobs or are the jobs just bad?,https://annehelen.substack.com/p/are-people-bad-at-their-jobsor-are
Hacker News,Chronic ethanol produces sex-dependent impairments in striatum computations,https://www.science.org/doi/10.1126/sciadv.adt0200
Hacker News,Hacking the call records of millions of Americans,https://evanconnelly.github.io/post/hacking-call-records/
Hacker News,Sailing from Berkeley to Hawaii in a 19ft Sailboat,https://potter-yachters.org/stories/teplow_to_hawaii.htm
Hacker News,Show HN: Mermaid Chart VS Code Plugin: Mermaid.js Diagrams in Visual Studio Code,https://docs.mermaidchart.com/blog/posts/mermaid-chart-vs-code-plugin-create-and-edit-mermaid-js-diagrams-in-visual-studio-code
Hacker News,"Dipping my toes in OpenBSD, in Amsterdam",https://ewintr.nl/posts/2025/dipping-my-toes-in-openbsd-in-amsterdam/
Hacker News,"Mozilla launching “Thundermail” email service to take on Gmail, Microsoft 365",https://www.techradar.com/pro/mozilla-launching-thundermail-email-service-to-take-on-gmail-microsoft-365
NYT Technology,Trump’s New Tariffs Test Apple’s Global Supply Chain,https://www.nytimes.com/2025/04/02/technology/trump-tariffs-apple-iphones.html
NYT Technology,"To Counter Trump’s Tariffs on Goods, Countries May Hit Back at US Services",https://www.nytimes.com/2025/04/02/business/economy/tariffs-foreign-goods-tariffs-us-services.html
NYT Technology,How Trump Could Make Larry Ellison the Next Media Mogul,https://www.nytimes.com/2025/04/02/technology/trump-larry-ellison-tiktok-oracle.html
NYT Technology,Trump Set to Meet With Top Aides to Decide TikTok’s Fate,https://www.nytimes.com/2025/04/01/technology/trump-tiktok-sale-meeting.html
NYT Technology,Mark Zuckerberg Lobbies Trump to Settle Antitrust Suit Against Meta,https://www.nytimes.com/2025/04/02/technology/mark-zuckerberg-trump-meta-antitrust.html
NYT Technology,Elon Musk Backlash Turns Into Global Sales Slump for Tesla,https://www.nytimes.com/2025/04/02/business/tesla-sales-elon-musk.html
NYT Technology,Auto Sales Surged in Anticipation of Trump’s Tariffs,https://www.nytimes.com/2025/04/01/business/auto-sales-trump-tariffs.html
NYT Technology,The UK Government Wouldn’t Ban Smartphones in Schools. These Parents Stepped Up.,https://www.nytimes.com/2025/04/01/world/europe/smartphone-ban-schools-uk-childhood.html
NYT Technology,OpenAI Closes Deal That Values Company at $300 Billion,https://www.nytimes.com/2025/03/31/technology/openai-valuation-300-billion.html
NYT Technology,"Isomorphic Labs, Google’s A.I. Drug Business, Raises Money From Thrive",https://www.nytimes.com/2025/03/31/business/dealbook/isomorphic-google-thrive-investment.html
NYT Technology,5 U.S. Voters Weigh In on the Signal Leak,https://www.nytimes.com/2025/03/29/us/trump-signal-leak-war-plans.html
NYT Technology,FCC Orders Investigation Into Disney’s DEI Practices,https://www.nytimes.com/2025/03/28/technology/disney-fcc-dei-investigation.html
NYT Technology,Elon Musk Says He Has Sold X to His A.I. Start-Up xAI,https://www.nytimes.com/2025/03/28/technology/musk-x-xai.html
